,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
72,1,0,1,4,4,14,3,3,6,2,2,1,0,0,2,2,8,1,1,2,3,2,5,3,5,10,20,15
73,0,0,1,1,1,7,3,1,7,2,5,0,0,0,3,2,6,1,0,11,3,2,5,3,5,10,17,54
74,3,2,1,0,5,0,3,1,7,6,5,7,0,0,3,0,8,1,0,2,3,2,5,3,5,11,9,55
75,0,1,1,1,1,7,0,5,6,1,5,7,0,0,3,2,8,1,0,2,0,1,1,2,5,12,13,15
76,1,4,0,4,2,15,3,2,6,4,7,4,0,0,3,2,8,1,0,2,0,1,1,2,5,0,17,52
77,0,3,1,4,4,5,3,5,7,2,5,0,0,0,0,2,1,1,0,2,2,0,3,1,5,1,23,20
78,4,1,1,4,4,5,3,5,7,4,5,7,0,0,3,2,8,1,0,2,0,1,0,2,5,9,2,4
79,4,1,1,2,1,1,3,2,12,6,5,7,0,0,0,2,8,3,0,2,3,2,5,3,5,10,10,13
80,4,0,1,4,4,1,3,0,7,4,5,7,0,3,0,2,8,1,0,3,0,0,3,2,5,12,19,26
81,0,0,1,4,1,0,3,1,9,4,6,7,0,0,0,2,1,1,1,2,2,0,1,2,6,10,19,7
82,2,0,1,4,1,7,3,5,7,2,5,0,0,0,3,2,2,1,0,2,0,0,1,2,5,2,7,50
83,2,1,1,4,4,9,3,5,6,2,5,1,0,0,3,2,8,0,0,2,0,1,0,2,5,11,16,23
84,3,4,1,2,4,0,3,5,9,4,5,1,0,0,3,2,8,1,1,2,1,0,3,2,5,2,12,5
85,6,0,1,4,3,14,3,5,7,4,5,7,0,0,3,2,8,1,0,2,0,0,3,2,5,3,16,24
86,6,0,1,4,3,7,3,5,9,2,5,7,0,0,3,2,8,2,1,4,2,1,0,2,6,11,16,0
87,1,0,1,0,3,5,3,5,7,2,5,7,0,3,0,2,8,1,0,2,3,2,5,3,5,13,3,55
88,4,4,1,6,2,0,3,3,4,4,5,1,0,0,3,2,8,1,0,7,1,0,0,2,5,7,10,0
89,0,0,1,1,2,5,3,5,9,4,5,7,0,3,3,4,2,1,0,2,3,2,5,3,5,1,7,30
90,6,1,1,1,2,0,3,5,6,2,5,1,0,0,3,2,8,1,0,2,3,2,5,3,5,8,9,54
91,0,4,1,4,4,4,3,5,4,4,5,1,0,0,3,2,8,1,0,2,3,2,5,3,5,17,14,30
92,3,1,1,4,2,11,3,3,9,4,5,1,0,0,3,2,2,1,1,2,0,0,0,2,5,5,12,43
93,3,1,1,2,0,0,3,5,7,2,5,1,0,0,3,2,0,1,0,5,0,1,4,2,5,10,15,17
94,5,1,1,4,3,15,3,5,6,4,5,7,0,0,3,2,8,1,2,2,0,1,3,2,5,10,14,13
