,Accident_severity
1044,Slight Injury
1045,Slight Injury
1046,Slight Injury
1047,Slight Injury
1048,Slight Injury
1049,Slight Injury
1050,Slight Injury
1051,Slight Injury
1052,Slight Injury
1053,Slight Injury
1054,Slight Injury
1055,Serious Injury
1056,Serious Injury
1057,Serious Injury
1058,Slight Injury
1059,Slight Injury
1060,Slight Injury
1061,Slight Injury
1062,Fatal injury
1063,Fatal injury
1064,Serious Injury
1065,Serious Injury
1066,Slight Injury
1067,Slight Injury
1068,Slight Injury
1069,Slight Injury
1070,Serious Injury
1071,Serious Injury
1072,Slight Injury
1073,Slight Injury
1074,Slight Injury
1075,Slight Injury
1076,Slight Injury
1077,Slight Injury
1078,Slight Injury
1079,Slight Injury
1080,Slight Injury
1081,Slight Injury
1082,Slight Injury
1083,Slight Injury
1084,Slight Injury
1085,Slight Injury
1086,Slight Injury
1087,Slight Injury
1088,Serious Injury
1089,Slight Injury
1090,Slight Injury
1091,Slight Injury
1092,Slight Injury
1093,Slight Injury
1094,Slight Injury
1095,Slight Injury
1096,Slight Injury
1097,Slight Injury
1098,Slight Injury
1099,Slight Injury
1100,Serious Injury
1101,Serious Injury
1102,Slight Injury
1103,Slight Injury
1104,Slight Injury
1105,Slight Injury
1106,Slight Injury
1107,Serious Injury
1108,Serious Injury
1109,Slight Injury
1110,Slight Injury
1111,Slight Injury
1112,Slight Injury
1113,Slight Injury
1114,Slight Injury
1115,Slight Injury
1116,Slight Injury
1117,Slight Injury
1118,Slight Injury
1119,Slight Injury
1120,Slight Injury
1121,Serious Injury
1122,Slight Injury
1123,Slight Injury
1124,Slight Injury
1125,Slight Injury
1126,Slight Injury
1127,Slight Injury
1128,Slight Injury
1129,Slight Injury
1130,Serious Injury
1131,Slight Injury
1132,Slight Injury
1133,Slight Injury
1134,Slight Injury
1135,Slight Injury
1136,Slight Injury
1137,Slight Injury
1138,Slight Injury
1139,Slight Injury
1140,Slight Injury
1141,Serious Injury
1142,Slight Injury
1143,Slight Injury
1144,Slight Injury
1145,Slight Injury
1146,Slight Injury
1147,Slight Injury
1148,Slight Injury
1149,Slight Injury
1150,Serious Injury
1151,Serious Injury
1152,Slight Injury
1153,Slight Injury
1154,Slight Injury
1155,Slight Injury
1156,Serious Injury
1157,Serious Injury
1158,Slight Injury
1159,Slight Injury
1160,Slight Injury
1161,Slight Injury
1162,Slight Injury
1163,Slight Injury
1164,Slight Injury
1165,Slight Injury
1166,Slight Injury
1167,Slight Injury
1168,Slight Injury
1169,Serious Injury
1170,Serious Injury
1171,Serious Injury
1172,Serious Injury
1173,Slight Injury
1174,Slight Injury
1175,Slight Injury
1176,Slight Injury
1177,Slight Injury
1178,Slight Injury
1179,Slight Injury
1180,Slight Injury
1181,Slight Injury
1182,Slight Injury
1183,Slight Injury
1184,Slight Injury
1185,Slight Injury
1186,Serious Injury
1187,Serious Injury
1188,Serious Injury
1189,Slight Injury
1190,Slight Injury
1191,Slight Injury
1192,Slight Injury
1193,Slight Injury
1194,Slight Injury
1195,Slight Injury
1196,Serious Injury
1197,Slight Injury
1198,Slight Injury
1199,Slight Injury
1200,Slight Injury
1201,Serious Injury
1202,Slight Injury
1203,Slight Injury
1204,Slight Injury
1205,Slight Injury
1206,Slight Injury
1207,Slight Injury
1208,Slight Injury
1209,Slight Injury
1210,Slight Injury
1211,Slight Injury
1212,Serious Injury
1213,Serious Injury
1214,Slight Injury
1215,Slight Injury
1216,Slight Injury
1217,Slight Injury
1218,Serious Injury
1219,Serious Injury
1220,Slight Injury
1221,Slight Injury
1222,Slight Injury
1223,Slight Injury
1224,Slight Injury
1225,Slight Injury
1226,Slight Injury
1227,Slight Injury
1228,Slight Injury
1229,Slight Injury
1230,Fatal injury
1231,Slight Injury
1232,Slight Injury
1233,Slight Injury
1234,Slight Injury
1235,Slight Injury
1236,Slight Injury
1237,Slight Injury
1238,Slight Injury
1239,Slight Injury
1240,Slight Injury
1241,Slight Injury
1242,Slight Injury
1243,Slight Injury
1244,Slight Injury
1245,Serious Injury
1246,Serious Injury
1247,Slight Injury
1248,Slight Injury
1249,Slight Injury
1250,Slight Injury
1251,Slight Injury
1252,Slight Injury
1253,Slight Injury
1254,Slight Injury
1255,Slight Injury
1256,Slight Injury
1257,Slight Injury
1258,Slight Injury
1259,Slight Injury
1260,Slight Injury
1261,Slight Injury
1262,Slight Injury
1263,Slight Injury
1264,Slight Injury
1265,Slight Injury
1266,Fatal injury
1267,Serious Injury
1268,Serious Injury
1269,Serious Injury
1270,Slight Injury
1271,Slight Injury
1272,Slight Injury
1273,Slight Injury
1274,Slight Injury
1275,Slight Injury
1276,Slight Injury
1277,Serious Injury
1278,Serious Injury
1279,Serious Injury
1280,Serious Injury
1281,Slight Injury
1282,Slight Injury
1283,Slight Injury
1284,Slight Injury
1285,Serious Injury
1286,Serious Injury
1287,Slight Injury
1288,Slight Injury
1289,Slight Injury
1290,Slight Injury
1291,Slight Injury
1292,Slight Injury
1293,Slight Injury
1294,Slight Injury
1295,Serious Injury
1296,Slight Injury
1297,Slight Injury
1298,Slight Injury
1299,Slight Injury
1300,Slight Injury
1301,Slight Injury
1302,Slight Injury
1303,Slight Injury
1304,Slight Injury
1305,Slight Injury
1306,Slight Injury
1307,Slight Injury
1308,Slight Injury
